施設ID,橋梁名,路線名,管理者,管理事務所,緯度,経度,架設年度,橋長,幅員,点検年度,判定区分,措置状況,更新日時
"35.48382,139.51397",市道6093号線橋,市道6093号線,八潮市,八潮市,35.8106,139.86101,,3.0,3.0,2021,3,3,2026-03-25T15:07:35+09:00
"35.79552,139.82329",浮花橋,県道平方東京線,埼玉県,越谷県土整備事務所,35.79552,139.82329,2001,40.5,20.8,2021,2,8,2025-11-01T00:00:00+09:00
"35.79957,139.84619",市道7097号線橋,市道7097号線,八潮市,八潮市,35.79957,139.84619,,5.0,8.3,2024,2,8,2025-11-01T00:00:00+09:00
"35.80031,139.85221",潮止橋橋側歩道橋(下り),県道松戸草加線,埼玉県,越谷県土整備事務所,35.80031,139.85221,1969,135.5,1.5,2025,3,1,2026-02-12T16:28:46+09:00
"35.80032,139.85222",潮止橋橋側歩道橋(上り),県道松戸草加線,埼玉県,越谷県土整備事務所,35.80037,139.85229,1969,135.5,1.5,2025,3,1,2026-02-12T16:26:33+09:00
"35.80054,139.84660",市道7096号線橋,市道7096号線,八潮市,八潮市,35.80054,139.8466,,5.0,8.3,2024,2,8,2025-11-01T00:00:00+09:00
"35.80078,139.85162",潮止橋,県道松戸草加線,埼玉県,越谷県土整備事務所,35.80034,139.85225,1957,135.9,6.6,2025,3,1,2026-03-25T18:04:05+09:00
"35.80081,139.83928",市道7074号線橋,市道7074号線,八潮市,八潮市,35.80081,139.83928,,6.0,5.0,2024,1,0,2025-11-01T00:00:00+09:00
"35.80083,139.83972",市道0830号線橋,市道0830号線,八潮市,八潮市,35.80083,139.83972,,6.0,18.7,2024,1,0,2025-11-01T00:00:00+09:00
"35.80109,139.82737",市道4117号線橋,市道4117号線,八潮市,八潮市,35.80109,139.82737,,4.0,8.5,2024,1,0,2025-11-01T00:00:00+09:00
"35.80151,139.84704",市道7093号線橋,市道7093号線,八潮市,八潮市,35.80151,139.84704,,5.0,7.3,2024,2,8,2025-11-01T00:00:00+09:00
"35.80267,139.84750",市道0462号線橋,市道0462号線,八潮市,八潮市,35.80267,139.8475,,4.0,9.9,2024,2,8,2025-11-01T00:00:00+09:00
"35.80347,139.84806",市道9045号線橋,市道9045号線,八潮市,八潮市,35.80347,139.84806,,6.0,19.7,2023,1,0,2025-11-01T00:00:00+09:00
"35.80412,139.84821",伊勢野二号橋,県道松戸草加線,埼玉県,越谷県土整備事務所,35.80408,139.84823,1968,7.0,16.9,2025,1,0,2026-03-25T11:36:26+09:00
"35.80417,139.85134",市道6221号線橋,市道6221号線,八潮市,八潮市,35.80417,139.85134,,3.0,8.0,2024,2,8,2025-11-01T00:00:00+09:00
"35.80427,139.82733",市道4092号線橋,市道4092号線,八潮市,八潮市,35.80427,139.82733,,2.0,4.3,2024,1,0,2025-11-01T00:00:00+09:00
"35.80468,139.82731",市道4091号線橋,市道4091号線,八潮市,八潮市,35.80468,139.82731,,2.0,4.4,2024,1,0,2025-11-01T00:00:00+09:00
"35.80475,139.84842",市道10060号線橋,市道10060号線,八潮市,八潮市,35.80475,139.84842,,7.0,6.0,2023,1,0,2025-11-01T00:00:00+09:00
"35.80490,139.82729",市道4075号線橋,市道4075号線,八潮市,八潮市,35.8049,139.82729,,2.0,3.5,2024,1,0,2025-11-01T00:00:00+09:00
"35.80542,139.84872",市道10055号線,市道10055号線,八潮市,八潮市,35.80542,139.84872,1984,5.0,6.0,2023,1,0,2025-11-01T00:00:00+09:00
"35.80589,139.84892",市道10054号線橋,市道10054号線,八潮市,八潮市,35.80589,139.84892,,7.0,6.0,2023,1,0,2025-11-01T00:00:00+09:00
"35.80639,139.84914",市道10053号線橋,市道10053号線,八潮市,八潮市,35.80639,139.84914,1984,5.0,6.0,2023,1,0,2025-11-01T00:00:00+09:00
"35.80689,139.84936",市道10052号線橋,市道10052号線,八潮市,八潮市,35.80689,139.84936,,7.0,6.0,2023,1,0,2025-11-01T00:00:00+09:00
"35.80712,139.83992",市道5229号線橋,市道5229号線,八潮市,八潮市,35.80712,139.83992,,4.0,6.0,2024,2,8,2025-11-01T00:00:00+09:00
"35.80739,139.84958",市道10051号線橋,市道10051号線,八潮市,八潮市,35.80739,139.84958,1984,5.0,7.0,2023,1,0,2025-11-01T00:00:00+09:00
